region_name,country_name,reporting_year,headcount,poverty_gap,poverty_severity,mean,median,gini,decile1,decile10
Europe & Central Asia,Czechia,2004,0.0303702989,0.007368857689,0.002464381467,30.410891421468,26.809019625981,0.275331800108,0.035861835956,0.230980392872
Europe & Central Asia,Czechia,2005,0.022158376915,0.004458677212,0.001475783523,31.224788848357,27.730648479778,0.269460167374,0.03773083298,0.229352899296
Europe & Central Asia,Czechia,2006,0.023088946022,0.004562739106,0.001651698376,32.946776880074,29.153848837287,0.267441173219,0.037275948517,0.226155552379
Europe & Central Asia,Czechia,2007,0.017310137664,0.00415825134,0.001901717403,34.688734173995,30.587232633918,0.259986475759,0.039175816574,0.223170083395
Europe & Central Asia,Czechia,2008,0.016914661087,0.003672925297,0.001386681687,35.541934483474,31.225538851884,0.262802117269,0.039168802472,0.228831384165
Europe & Central Asia,Czechia,2009,0.018168229765,0.004126380946,0.001407384609,36.056555850833,31.88746968889,0.261566745986,0.038349296656,0.223659727517
Europe & Central Asia,Czechia,2010,0.018274623643,0.004526713188,0.001770115203,35.99220755634,31.901266832323,0.266235137503,0.037132541205,0.224429295835
Europe & Central Asia,Czechia,2011,0.020707749535,0.00428932502,0.00157790733,35.953902435326,32.208378162229,0.263812746221,0.036975928639,0.222334575982
Europe & Central Asia,Czechia,2012,0.01744072589,0.004824701581,0.002114562928,35.348246900891,31.592608743173,0.261099385622,0.038855891663,0.221623438446
Europe & Central Asia,Czechia,2013,0.014185045408,0.003183075736,0.001256041484,35.582391629901,31.617310541419,0.264739033497,0.037800374462,0.225923540162
Europe & Central Asia,Czechia,2014,0.019168958499,0.004292689717,0.0014686623,36.412864746023,32.228402567838,0.259232208967,0.038509973261,0.221418852345
Europe & Central Asia,Czechia,2015,0.015228137508,0.002748595554,0.000796750578,37.91529751694,33.686265511305,0.258674265173,0.038520182416,0.221252606644
Europe & Central Asia,Czechia,2016,0.013172856892,0.003605003758,0.001466820375,39.322012742099,34.691408893815,0.254063329165,0.040217146014,0.219370469287
Europe & Central Asia,Czechia,2017,0.007735466707,0.002404131421,0.00106232463,40.64377262445,35.834741357684,0.248522097465,0.042026808223,0.214495698247
Europe & Central Asia,Czechia,2018,0.005584489134,0.001463511454,0.000644150387,42.567108489466,37.33269491124,0.249903408011,0.041717014665,0.215076280444
Europe & Central Asia,Czechia,2019,0.007050761089,0.001423164192,0.000515161701,44.544341571653,39.111235546599,0.252621968501,0.041610631664,0.214862870621
Europe & Central Asia,Czechia,2020,0.006730714838,0.001870890809,0.000711937066,45.30265702215,39.844265941851,0.262451315599,0.039727436426,0.224818613398
Europe & Central Asia,Czechia,2021,0.00590466234,0.001576703204,0.000747886202,47.783066450991,41.585741094273,0.262021042363,0.038934525484,0.22182126202
Europe & Central Asia,Czechia,2022,0.009707093387,0.002458906333,0.000938774163,44.75620002479,39.48054378423,0.258703900355,0.03824007541,0.217932199501
Other High Income Countries,Germany,2000,0.004590630998,0.001623784562,0.000837078354,62.876071454735,54.458363890649,0.288881390023,0.036365065551,0.226128091977
Other High Income Countries,Germany,2001,0.004846288655,0.001732988423,0.001007943675,62.879005198909,53.310677589661,0.299493891924,0.035809082893,0.236020745805
Other High Income Countries,Germany,2002,0.004860517509,0.001493313371,0.000618758377,63.990613874111,54.471006543578,0.298105325558,0.035296402778,0.232635455063
Other High Income Countries,Germany,2003,0.004948472123,0.002332349122,0.00142398524,63.512231330198,54.224663952215,0.298029298617,0.035118413745,0.234686886383
Other High Income Countries,Germany,2004,0.004977951832,0.001836054045,0.000875211774,64.061367103224,54.468907445947,0.30192586004,0.03504496207,0.237016955441
Other High Income Countries,Germany,2005,0.004949703735,0.00163463108,0.000895519994,64.183931458816,53.712609193798,0.317040915972,0.033558276211,0.248660086969
Other High Income Countries,Germany,2006,0.002324563857,0.000905057443,0.00035237964,64.770016766092,54.261896254301,0.31041958687,0.034416210657,0.242726281297
Other High Income Countries,Germany,2007,0.002417428158,0.001037294446,0.000445092758,65.446494738921,54.760768584822,0.311770899931,0.035083467083,0.247158814829
Other High Income Countries,Germany,2008,0.004946306885,0.001528744416,0.000926681187,65.032321532423,54.896540104739,0.308002651485,0.034996595329,0.242210048551
Other High Income Countries,Germany,2009,0.004937328583,0.00134667567,0.000568978567,65.51849826468,55.735611938289,0.3047942767,0.034395722502,0.236372601138
Other High Income Countries,Germany,2010,0.004956996404,0.001803755805,0.001142190301,65.773384841614,56.071669739788,0.302184137459,0.035015901889,0.236534074159
Other High Income Countries,Germany,2011,0.00239701425,0.001336065129,0.000744705639,66.185379861636,55.765718213877,0.306105051173,0.035235028907,0.240876322979
Other High Income Countries,Germany,2012,0.002443116839,0.001260645841,0.00065049199,66.080622277327,55.856857503213,0.310557888962,0.033454225909,0.240122072201
Other High Income Countries,Germany,2013,0.002430897713,0.000997679418,0.000409463638,66.663878158385,56.11024844848,0.31453596808,0.033718545878,0.24519115372
Other High Income Countries,Germany,2014,0.004937865399,0.002100893961,0.001153653266,66.572203194725,56.861667469652,0.308477938491,0.032499059211,0.235990082086
Other High Income Countries,Germany,2015,0.004959306678,0.001501402557,0.000826616442,69.148971601447,58.344431377861,0.316539130532,0.032011280516,0.246462217233
Other High Income Countries,Germany,2016,0.00495457905,0.001742892701,0.001029863144,70.528680128542,60.304740924843,0.314130911851,0.03155948154,0.242486687573
Other High Income Countries,Germany,2017,0.007472083985,0.003215678304,0.002235205286,70.751566431116,60.435822200659,0.313148641204,0.031058498325,0.241978416591
Other High Income Countries,Germany,2018,0.004768117219,0.002122799088,0.001220333491,73.294506217522,62.235937185654,0.31872114298,0.031389681779,0.248675427447
